Education,Marital_Status,Income,Kids,Days_is_client,Recency,Expenses,TotalNumPurchases,TotalAcceptedCmp,Complain,Response,Target
Graduate,Partner,66373,2,382,57,606,23,0,0,0,High-Value Frequent Shoppers
Postgraduate,Partner,82384,0,587,55,1957,27,1,0,1,High-Value Frequent Shoppers
Graduate,Single,70287,0,453,30,1093,21,0,0,1,High-Value Frequent Shoppers
Graduate,Single,27938,1,62,31,29,6,0,0,0,Family-Oriented Budget Shoppers
Postgraduate,Partner,55954,1,118,63,518,19,0,0,0,Family-Oriented Budget Shoppers
Postgraduate,Single,75777,0,360,12,1438,21,2,0,1,High-Value Frequent Shoppers
Graduate,Partner,66653,2,660,18,612,22,0,0,0,High-Value Frequent Shoppers
Graduate,Single,61823,1,496,26,884,24,0,0,0,High-Value Frequent Shoppers
Postgraduate,Single,67680,1,383,8,606,19,0,0,0,High-Value Frequent Shoppers
Graduate,Partner,70666,0,205,29,1076,16,0,0,0,High-Value Frequent Shoppers
Graduate,Partner,25721,1,404,75,34,5,0,0,1,Family-Oriented Budget Shoppers
Graduate,Partner,32474,2,49,0,11,4,0,0,0,Family-Oriented Budget Shoppers
Graduate,Single,88194,1,102,19,1274,32,2,0,1,High-Value Frequent Shoppers
Graduate,Partner,69096,1,275,4,653,18,0,0,0,High-Value Frequent Shoppers
Graduate,Partner,74854,3,447,90,1562,19,0,0,0,High-Value Frequent Shoppers
Postgraduate,Partner,66991,0,656,1,1253,21,0,0,0,High-Value Frequent Shoppers
Graduate,Partner,65031,1,469,29,863,30,0,0,0,High-Value Frequent Shoppers
Postgraduate,Partner,60631,2,450,88,661,24,1,0,0,High-Value Frequent Shoppers
Graduate,Partner,28332,0,60,58,65,8,0,0,0,Family-Oriented Budget Shoppers
Graduate,Single,40246,1,557,68,13,4,0,0,0,Family-Oriented Budget Shoppers
Postgraduate,Partner,75251,0,671,34,1890,19,0,0,1,High-Value Frequent Shoppers
Graduate,Single,75825,0,625,40,2209,22,1,0,1,High-Value Frequent Shoppers
Graduate,Partner,26326,0,298,12,18,4,0,1,0,Family-Oriented Budget Shoppers
Graduate,Partner,56046,0,543,9,692,21,1,0,1,High-Value Frequent Shoppers
Graduate,Single,29760,1,669,87,165,12,0,0,0,Family-Oriented Budget Shoppers
Graduate,Partner,26304,1,371,5,16,4,0,0,0,Family-Oriented Budget Shoppers
Graduate,Partner,23559,1,361,87,79,9,0,0,0,Family-Oriented Budget Shoppers
Graduate,Single,81361,0,124,18,778,27,0,0,0,High-Value Frequent Shoppers
Graduate,Partner,29440,2,322,95,56,7,0,0,0,Family-Oriented Budget Shoppers
Postgraduate,Partner,36138,2,348,48,151,13,1,0,0,Family-Oriented Budget Shoppers
Graduate,Single,50388,1,32,3,372,17,2,0,1,High-Value Frequent Shoppers
Graduate,Partner,79593,0,48,70,1366,19,1,0,0,High-Value Frequent Shoppers
Graduate,Partner,54178,1,159,79,194,10,0,0,0,Family-Oriented Budget Shoppers
Postgraduate,Single,42394,1,98,69,32,5,0,0,0,Family-Oriented Budget Shoppers
Postgraduate,Partner,23626,1,36,84,43,10,0,0,0,Family-Oriented Budget Shoppers
Graduate,Partner,30096,1,38,30,45,6,0,0,0,Family-Oriented Budget Shoppers
Graduate,Single,47916,1,584,72,606,22,1,0,0,High-Value Frequent Shoppers
Graduate,Single,51813,2,444,37,63,7,0,0,0,Family-Oriented Budget Shoppers
Graduate,Partner,78497,0,210,44,978,25,1,0,0,High-Value Frequent Shoppers
Postgraduate,Partner,50150,0,374,32,410,16,0,0,0,Family-Oriented Budget Shoppers
Graduate,Single,47823,1,341,0,72,7,0,0,0,Family-Oriented Budget Shoppers
Postgraduate,Single,34554,1,91,43,55,7,0,0,0,Family-Oriented Budget Shoppers
Graduate,Partner,85693,1,435,59,1169,27,0,0,0,High-Value Frequent Shoppers
Postgraduate,Partner,65846,0,408,68,1120,16,0,0,0,High-Value Frequent Shoppers
Graduate,Partner,87195,0,52,35,1097,20,0,0,1,High-Value Frequent Shoppers
Undergraduate,Partner,24594,1,201,94,29,5,0,0,0,Price-Conscious Minimal Shoppers
Graduate,Partner,49096,2,278,15,187,13,0,0,0,Family-Oriented Budget Shoppers
Graduate,Partner,52413,2,512,56,910,26,0,0,0,High-Value Frequent Shoppers
Graduate,Single,38557,1,557,17,145,9,0,0,0,Family-Oriented Budget Shoppers
Postgraduate,Partner,89058,0,569,18,850,14,0,0,0,High-Value Frequent Shoppers
Graduate,Partner,77298,1,239,46,969,24,0,0,0,High-Value Frequent Shoppers
Postgraduate,Single,68126,0,596,40,1820,17,1,0,1,High-Value Frequent Shoppers
Postgraduate,Partner,57288,1,4,27,608,20,1,0,0,High-Value Frequent Shoppers
Graduate,Single,86037,0,543,95,730,25,2,0,1,High-Value Frequent Shoppers
Postgraduate,Partner,43974,1,564,19,551,21,0,0,0,Family-Oriented Budget Shoppers
Graduate,Single,50785,2,292,27,114,8,0,0,0,Family-Oriented Budget Shoppers
Graduate,Partner,90765,0,156,25,1724,15,2,0,0,High-Value Frequent Shoppers
Graduate,Partner,36550,1,495,74,577,20,0,0,0,Family-Oriented Budget Shoppers
Graduate,Partner,30753,2,353,85,81,7,0,0,0,Family-Oriented Budget Shoppers
Graduate,Partner,21918,1,227,37,33,7,0,0,0,Family-Oriented Budget Shoppers
Postgraduate,Partner,56129,1,374,65,660,22,0,0,0,High-Value Frequent Shoppers
Postgraduate,Single,32557,1,125,13,80,9,0,0,1,Family-Oriented Budget Shoppers
Postgraduate,Partner,19510,2,298,63,30,6,0,0,0,Family-Oriented Budget Shoppers
Graduate,Single,30992,1,433,83,43,5,0,0,0,Family-Oriented Budget Shoppers
Graduate,Single,101970,0,474,69,1135,27,3,0,1,High-Value Frequent Shoppers
Graduate,Partner,71488,0,496,87,559,16,0,0,0,High-Value Frequent Shoppers
Graduate,Single,79607,0,434,37,1923,16,0,0,1,High-Value Frequent Shoppers
Postgraduate,Partner,54348,2,21,51,90,8,0,0,0,Family-Oriented Budget Shoppers
Postgraduate,Partner,77376,2,50,72,661,23,0,0,0,High-Value Frequent Shoppers
Graduate,Partner,62998,1,272,10,463,19,0,0,0,Family-Oriented Budget Shoppers
Postgraduate,Single,61331,2,476,42,632,23,0,0,0,High-Value Frequent Shoppers
Graduate,Partner,73448,0,139,10,725,19,0,0,0,High-Value Frequent Shoppers
Postgraduate,Partner,41551,2,319,51,279,16,0,0,0,Family-Oriented Budget Shoppers
Postgraduate,Partner,62981,0,469,21,1482,23,1,0,0,High-Value Frequent Shoppers
Undergraduate,Single,9548,1,690,31,29,6,0,0,0,Price-Conscious Minimal Shoppers
Postgraduate,Partner,33762,3,357,61,106,9,0,0,0,Family-Oriented Budget Shoppers
Postgraduate,Single,35860,2,41,37,49,6,1,0,1,Family-Oriented Budget Shoppers
Postgraduate,Single,36921,2,336,74,38,7,0,0,0,Family-Oriented Budget Shoppers
Postgraduate,Single,92859,0,618,46,2077,22,0,0,0,High-Value Frequent Shoppers
Postgraduate,Partner,65104,1,227,4,1053,17,0,0,1,High-Value Frequent Shoppers
Graduate,Partner,86111,0,436,73,1385,23,0,0,0,High-Value Frequent Shoppers
Postgraduate,Single,68352,1,305,47,871,25,0,0,0,High-Value Frequent Shoppers
Graduate,Partner,41883,1,467,13,312,12,0,0,0,Family-Oriented Budget Shoppers
Graduate,Partner,59809,2,619,36,877,15,0,0,0,Family-Oriented Budget Shoppers
Graduate,Partner,23957,1,609,47,68,6,0,0,1,Family-Oriented Budget Shoppers
Graduate,Partner,38547,1,305,49,22,4,0,1,0,Family-Oriented Budget Shoppers
Graduate,Partner,35688,3,676,94,211,16,0,0,0,Family-Oriented Budget Shoppers
Postgraduate,Partner,49605,0,8,65,127,8,0,0,0,Family-Oriented Budget Shoppers
Postgraduate,Partner,59354,2,66,59,459,16,0,0,0,Family-Oriented Budget Shoppers
Graduate,Partner,65747,1,114,96,460,19,1,0,0,High-Value Frequent Shoppers
Graduate,Partner,46344,1,562,28,429,17,0,0,0,Family-Oriented Budget Shoppers
Graduate,Single,34176,1,48,12,89,11,0,0,0,Family-Oriented Budget Shoppers
Postgraduate,Partner,61010,1,628,57,1021,26,0,0,0,High-Value Frequent Shoppers
Graduate,Partner,69372,0,495,10,1381,21,2,0,1,High-Value Frequent Shoppers
Graduate,Single,49967,1,356,4,306,15,0,0,0,Family-Oriented Budget Shoppers
Graduate,Single,60199,3,290,49,18,4,0,0,0,Family-Oriented Budget Shoppers
Graduate,Partner,55375,1,255,3,162,9,0,0,0,Family-Oriented Budget Shoppers
Graduate,Single,80317,0,313,64,1231,18,0,0,0,High-Value Frequent Shoppers
Postgraduate,Single,30523,3,363,0,13,4,0,0,0,Family-Oriented Budget Shoppers
Postgraduate,Partner,70356,0,601,20,1706,27,0,0,0,High-Value Frequent Shoppers
Graduate,Partner,23228,1,175,91,121,11,0,0,0,Family-Oriented Budget Shoppers
Postgraduate,Single,74165,0,424,9,1293,20,0,0,0,High-Value Frequent Shoppers
Graduate,Partner,43482,3,228,83,88,9,0,0,0,Family-Oriented Budget Shoppers
Graduate,Single,62551,0,223,27,421,18,1,0,0,High-Value Frequent Shoppers
Graduate,Single,52332,0,305,63,259,12,1,0,0,Family-Oriented Budget Shoppers
Graduate,Single,66951,0,239,46,1117,15,0,0,0,High-Value Frequent Shoppers
Graduate,Partner,26091,2,124,84,89,9,0,0,0,Family-Oriented Budget Shoppers
Graduate,Partner,33456,2,69,58,36,6,0,0,0,Family-Oriented Budget Shoppers
Graduate,Partner,28718,1,351,78,57,7,0,0,0,Family-Oriented Budget Shoppers
Graduate,Partner,50447,2,69,4,148,8,0,0,0,Family-Oriented Budget Shoppers
Postgraduate,Partner,53537,2,150,17,93,8,0,0,0,Family-Oriented Budget Shoppers
Graduate,Single,52074,1,86,77,119,7,1,0,0,Family-Oriented Budget Shoppers
Postgraduate,Partner,80427,1,655,56,1835,28,0,0,0,High-Value Frequent Shoppers
Postgraduate,Partner,83837,0,560,79,1318,25,2,0,1,High-Value Frequent Shoppers
Postgraduate,Partner,38853,2,37,90,45,7,0,0,0,Family-Oriented Budget Shoppers
Graduate,Partner,38285,3,5,96,10,4,0,0,0,Family-Oriented Budget Shoppers
Postgraduate,Partner,51650,1,49,81,191,10,0,0,0,Family-Oriented Budget Shoppers
Graduate,Partner,16248,1,50,77,57,9,0,0,0,Family-Oriented Budget Shoppers
Postgraduate,Partner,66835,0,274,21,1033,24,0,0,0,High-Value Frequent Shoppers
Postgraduate,Partner,30477,1,158,16,66,6,0,0,0,Family-Oriented Budget Shoppers
Undergraduate,Partner,28249,0,14,80,43,6,0,0,0,Price-Conscious Minimal Shoppers
Graduate,Partner,25271,1,571,45,50,5,0,0,0,Family-Oriented Budget Shoppers
Postgraduate,Single,32303,1,113,63,39,7,0,0,0,Family-Oriented Budget Shoppers
Graduate,Partner,61286,1,331,34,608,18,0,0,0,High-Value Frequent Shoppers
Graduate,Partner,74068,0,467,14,1581,24,0,0,0,High-Value Frequent Shoppers
Postgraduate,Partner,45759,2,491,13,68,7,0,0,0,Family-Oriented Budget Shoppers
Undergraduate,Partner,24882,1,658,52,80,5,1,0,0,Price-Conscious Minimal Shoppers
Postgraduate,Partner,66973,0,408,98,1282,28,0,0,0,High-Value Frequent Shoppers
Graduate,Single,36640,1,276,99,65,6,0,1,0,Family-Oriented Budget Shoppers
Graduate,Partner,38872,1,395,93,91,8,0,0,0,Family-Oriented Budget Shoppers
Graduate,Partner,51148,2,496,38,315,16,0,0,0,Family-Oriented Budget Shoppers
Graduate,Partner,31353,2,182,24,31,6,0,0,0,Family-Oriented Budget Shoppers
Postgraduate,Partner,69661,0,47,80,834,23,0,0,0,High-Value Frequent Shoppers
Graduate,Partner,80067,0,283,82,1600,17,1,0,0,High-Value Frequent Shoppers
Graduate,Partner,86718,0,528,20,1270,17,0,0,0,High-Value Frequent Shoppers
Postgraduate,Single,46854,2,90,81,263,15,1,0,1,Family-Oriented Budget Shoppers
Graduate,Single,69142,1,0,50,535,19,1,0,0,High-Value Frequent Shoppers
Graduate,Single,75922,0,202,60,1295,18,0,0,0,High-Value Frequent Shoppers
Graduate,Single,63693,1,258,63,1150,29,0,0,0,High-Value Frequent Shoppers
Postgraduate,Partner,102160,0,604,54,1240,26,3,0,1,High-Value Frequent Shoppers
Postgraduate,Single,40637,2,347,72,38,6,0,0,0,Family-Oriented Budget Shoppers
Postgraduate,Single,18890,0,596,5,35,4,1,0,1,Family-Oriented Budget Shoppers
Graduate,Partner,29604,1,203,88,53,5,1,0,0,Family-Oriented Budget Shoppers
Postgraduate,Single,48721,2,412,50,293,17,0,0,0,Family-Oriented Budget Shoppers
Graduate,Partner,44794,1,21,99,65,6,0,0,0,Family-Oriented Budget Shoppers
Graduate,Single,64497,1,657,17,1804,29,1,0,1,High-Value Frequent Shoppers
Graduate,Partner,46097,1,455,11,241,15,0,0,0,Family-Oriented Budget Shoppers
Graduate,Partner,77972,0,103,18,1101,20,0,0,0,High-Value Frequent Shoppers
Postgraduate,Partner,44377,2,632,70,264,19,0,0,0,Family-Oriented Budget Shoppers
Postgraduate,Partner,46014,2,524,21,541,26,0,0,0,Family-Oriented Budget Shoppers
Graduate,Partner,70951,0,421,66,1198,17,0,0,0,High-Value Frequent Shoppers
Graduate,Partner,41443,1,89,79,482,20,0,0,0,Family-Oriented Budget Shoppers
Graduate,Single,52195,3,48,2,17,4,0,0,0,Family-Oriented Budget Shoppers
Postgraduate,Partner,83790,0,226,81,1615,25,2,0,0,High-Value Frequent Shoppers
Postgraduate,Single,44551,1,302,24,285,12,0,0,0,Family-Oriented Budget Shoppers
Graduate,Partner,69508,1,592,48,1135,28,0,0,0,High-Value Frequent Shoppers
Graduate,Partner,45204,1,79,93,114,7,0,0,0,Family-Oriented Budget Shoppers
Graduate,Partner,72460,0,227,56,1047,16,0,0,0,High-Value Frequent Shoppers
Postgraduate,Partner,77622,2,76,3,714,22,0,0,0,High-Value Frequent Shoppers
Postgraduate,Partner,30732,1,540,44,185,13,0,0,0,Family-Oriented Budget Shoppers
Graduate,Single,63887,1,659,38,1245,32,0,0,0,High-Value Frequent Shoppers
Graduate,Partner,42011,1,460,46,189,12,0,0,0,Family-Oriented Budget Shoppers
Graduate,Partner,51369,1,612,84,576,16,0,0,0,Family-Oriented Budget Shoppers
Graduate,Single,51537,1,567,27,1103,18,0,0,0,High-Value Frequent Shoppers
Postgraduate,Partner,79930,0,690,72,1753,17,0,0,0,High-Value Frequent Shoppers
Postgraduate,Partner,34320,1,133,66,17,4,0,0,0,Family-Oriented Budget Shoppers
Graduate,Single,37070,2,466,30,433,23,0,0,1,Family-Oriented Budget Shoppers
Graduate,Single,81975,1,540,2,1588,14,1,0,0,High-Value Frequent Shoppers
Graduate,Partner,38590,1,410,65,22,4,0,0,0,Family-Oriented Budget Shoppers
Graduate,Single,15033,0,74,37,19,5,0,0,0,Family-Oriented Budget Shoppers
Postgraduate,Partner,62745,1,463,89,1117,29,0,0,0,High-Value Frequent Shoppers
Graduate,Partner,22212,1,202,49,69,8,0,0,0,Family-Oriented Budget Shoppers
Postgraduate,Partner,23661,1,207,46,23,5,0,0,0,Family-Oriented Budget Shoppers
Postgraduate,Single,79761,1,268,32,605,19,0,0,0,High-Value Frequent Shoppers
Graduate,Single,7500,1,185,54,57,11,0,0,0,Family-Oriented Budget Shoppers
Graduate,Single,60182,1,43,23,22,4,0,0,0,Family-Oriented Budget Shoppers
Graduate,Single,73455,0,244,98,2088,22,1,0,0,High-Value Frequent Shoppers
Graduate,Partner,64961,1,553,97,1009,16,0,0,0,High-Value Frequent Shoppers
Graduate,Single,22804,1,333,75,26,5,0,0,0,Family-Oriented Budget Shoppers
Graduate,Partner,73687,0,213,8,1627,22,1,0,1,High-Value Frequent Shoppers
Graduate,Partner,61074,1,681,37,1102,31,0,0,0,High-Value Frequent Shoppers
Postgraduate,Partner,31686,2,24,31,17,6,0,0,0,Family-Oriented Budget Shoppers
Graduate,Partner,80134,1,405,40,1690,16,3,0,1,High-Value Frequent Shoppers
Graduate,Partner,75027,1,536,74,1390,21,0,0,0,High-Value Frequent Shoppers
Postgraduate,Partner,67546,0,667,90,2126,20,0,0,0,High-Value Frequent Shoppers
Postgraduate,Partner,65176,1,608,57,1531,25,0,0,0,High-Value Frequent Shoppers
Postgraduate,Single,31160,1,286,59,64,7,0,0,0,Family-Oriented Budget Shoppers
Graduate,Single,29938,1,245,52,26,6,0,0,0,Family-Oriented Budget Shoppers
Graduate,Single,102692,0,450,5,1112,29,4,0,1,High-Value Frequent Shoppers
Graduate,Partner,26490,0,645,92,210,11,0,0,0,Family-Oriented Budget Shoppers
Graduate,Partner,75702,2,669,77,1148,26,0,0,0,High-Value Frequent Shoppers
Postgraduate,Single,30899,1,624,35,33,6,0,0,0,Family-Oriented Budget Shoppers
Postgraduate,Partner,63342,1,621,48,1101,19,1,0,0,High-Value Frequent Shoppers
Graduate,Single,45989,1,615,97,322,16,0,0,0,Family-Oriented Budget Shoppers
Graduate,Single,18701,2,390,95,44,10,0,0,0,Family-Oriented Budget Shoppers
Postgraduate,Single,40737,3,203,24,17,4,0,0,0,Family-Oriented Budget Shoppers
Graduate,Single,15287,1,627,60,31,6,1,0,1,Family-Oriented Budget Shoppers
Postgraduate,Single,69674,2,403,46,845,25,0,0,0,High-Value Frequent Shoppers
Postgraduate,Partner,44159,1,12,85,275,15,0,0,0,Family-Oriented Budget Shoppers
Postgraduate,Partner,37717,1,583,31,25,4,0,0,0,Family-Oriented Budget Shoppers
Postgraduate,Partner,43776,2,511,9,275,17,0,0,1,Family-Oriented Budget Shoppers
Postgraduate,Partner,38179,2,472,30,90,11,0,0,0,Family-Oriented Budget Shoppers
Graduate,Partner,80124,0,3,47,1495,19,1,0,0,High-Value Frequent Shoppers
Postgraduate,Partner,38097,2,622,70,184,11,1,0,1,Family-Oriented Budget Shoppers
Graduate,Partner,72940,0,375,13,981,13,0,0,0,High-Value Frequent Shoppers
Graduate,Partner,22070,1,268,11,67,8,0,0,0,Family-Oriented Budget Shoppers
Graduate,Single,69267,0,645,31,1635,14,0,0,1,High-Value Frequent Shoppers
Postgraduate,Single,31788,1,101,15,60,10,0,1,0,Family-Oriented Budget Shoppers
Postgraduate,Partner,61905,1,145,2,231,12,0,0,0,Family-Oriented Budget Shoppers
Graduate,Partner,29315,2,84,55,48,10,0,0,0,Family-Oriented Budget Shoppers
Graduate,Single,33378,2,508,38,99,9,0,0,0,Family-Oriented Budget Shoppers
Postgraduate,Partner,66313,1,286,86,770,23,0,0,0,High-Value Frequent Shoppers
Graduate,Single,60714,0,528,56,957,23,0,0,1,High-Value Frequent Shoppers
Postgraduate,Partner,77882,0,60,29,818,12,0,0,0,High-Value Frequent Shoppers
Postgraduate,Single,69867,0,453,30,925,17,1,0,1,High-Value Frequent Shoppers
Postgraduate,Single,63841,1,434,64,908,22,0,0,0,High-Value Frequent Shoppers
Undergraduate,Partner,24480,1,503,46,102,10,0,0,0,Price-Conscious Minimal Shoppers
Postgraduate,Partner,65640,1,120,74,461,15,0,0,0,Family-Oriented Budget Shoppers
Postgraduate,Partner,44319,2,73,18,37,7,0,0,0,Family-Oriented Budget Shoppers
Graduate,Partner,30631,1,352,75,70,7,0,0,0,Family-Oriented Budget Shoppers
Graduate,Partner,75278,0,516,17,930,23,0,0,0,High-Value Frequent Shoppers
Postgraduate,Partner,50898,2,537,88,859,33,0,0,0,High-Value Frequent Shoppers
Graduate,Single,79946,0,48,19,1478,22,0,0,0,High-Value Frequent Shoppers
Postgraduate,Single,35416,0,381,62,390,16,0,0,0,Family-Oriented Budget Shoppers
Graduate,Partner,32414,0,360,11,52,5,1,0,0,Family-Oriented Budget Shoppers
Graduate,Partner,38361,1,184,74,137,10,0,0,0,Family-Oriented Budget Shoppers
Graduate,Partner,82497,0,606,32,1919,19,1,0,0,High-Value Frequent Shoppers
Graduate,Partner,16626,2,165,76,68,9,0,0,0,Family-Oriented Budget Shoppers
Graduate,Partner,29672,2,474,6,25,4,0,0,0,Family-Oriented Budget Shoppers
Postgraduate,Partner,55951,1,675,62,1374,23,2,0,0,High-Value Frequent Shoppers
Graduate,Single,35388,1,479,20,32,5,0,0,0,Family-Oriented Budget Shoppers
Postgraduate,Partner,42386,1,532,43,100,7,0,0,0,Family-Oriented Budget Shoppers
Graduate,Single,68627,0,533,45,825,12,0,0,0,High-Value Frequent Shoppers
Postgraduate,Single,57912,1,104,34,916,28,1,0,0,High-Value Frequent Shoppers
Graduate,Single,35246,2,74,53,62,11,0,0,0,Family-Oriented Budget Shoppers
Graduate,Partner,58821,1,260,44,728,21,0,0,0,High-Value Frequent Shoppers
Postgraduate,Partner,46377,1,120,89,90,7,0,0,0,Family-Oriented Budget Shoppers
Graduate,Single,39747,1,77,43,273,13,0,0,0,Family-Oriented Budget Shoppers
Graduate,Partner,23976,1,184,68,66,10,0,0,0,Family-Oriented Budget Shoppers
Postgraduate,Partner,80950,0,458,44,1213,23,1,0,0,High-Value Frequent Shoppers
Graduate,Single,27038,0,649,64,107,7,0,0,1,Family-Oriented Budget Shoppers
Graduate,Single,77457,0,116,85,1157,18,1,0,0,High-Value Frequent Shoppers
Postgraduate,Partner,64100,1,292,93,546,18,1,0,0,High-Value Frequent Shoppers
Postgraduate,Partner,42670,0,428,12,241,11,0,0,0,Family-Oriented Budget Shoppers
Graduate,Single,12571,1,162,86,53,11,0,0,0,Family-Oriented Budget Shoppers
Graduate,Partner,22574,3,244,28,37,7,0,0,0,Family-Oriented Budget Shoppers
Postgraduate,Single,70893,0,508,42,1508,23,0,0,0,High-Value Frequent Shoppers
Graduate,Partner,54198,2,194,13,235,16,0,0,0,Family-Oriented Budget Shoppers
Postgraduate,Partner,28839,2,110,86,32,7,0,0,0,Family-Oriented Budget Shoppers
Graduate,Partner,40321,2,335,59,102,8,0,0,0,Family-Oriented Budget Shoppers
Graduate,Single,66503,1,684,30,401,15,0,0,0,Family-Oriented Budget Shoppers
Graduate,Partner,30833,2,348,33,28,6,0,0,0,Family-Oriented Budget Shoppers
Graduate,Partner,64795,1,528,23,680,21,0,0,0,High-Value Frequent Shoppers
Graduate,Partner,34421,1,363,81,30,4,0,0,0,Family-Oriented Budget Shoppers
Postgraduate,Single,47025,2,140,6,20,4,0,0,0,Family-Oriented Budget Shoppers
Postgraduate,Single,64325,1,507,41,1307,23,0,0,0,High-Value Frequent Shoppers
Graduate,Single,40464,1,534,78,630,24,0,0,0,High-Value Frequent Shoppers
Graduate,Partner,62187,0,359,49,1283,18,0,0,0,High-Value Frequent Shoppers
Postgraduate,Single,14849,1,362,39,65,9,0,0,0,Family-Oriented Budget Shoppers
Graduate,Partner,27255,1,234,3,37,5,0,0,0,Family-Oriented Budget Shoppers
Postgraduate,Partner,54432,3,416,37,38,5,0,0,0,Family-Oriented Budget Shoppers
Postgraduate,Single,29999,1,501,22,160,12,0,0,0,Family-Oriented Budget Shoppers
Graduate,Single,24072,1,439,79,23,4,0,0,0,Family-Oriented Budget Shoppers
Postgraduate,Single,33996,0,291,46,71,6,0,0,0,Family-Oriented Budget Shoppers
Postgraduate,Partner,66334,1,452,82,1161,19,0,0,1,High-Value Frequent Shoppers
Postgraduate,Partner,35178,1,535,10,59,5,1,0,1,Family-Oriented Budget Shoppers
